failure min per day,scv success rate,spv success rate
1,1,1
2,0.988,1
3,1,0.988
4,1,1
5,1,1
6,1,0.982
7,0.999,1
8,1,0.994
9,1,0.99
10,1,1
11,1,0.98
12,0.986,1
13,1,0.971
14,1,0.996
15,1,1
16,1,0.983
17,1,0.998
18,1,1
19,1,0.995
20,0.975,1
21,1,0.989
22,1,0.976
23,1,0.993
24,1,0.999
25,0.916,0.992
26,0.98,0.986
27,1,0.992
28,0.997,0.995
29,0.993,0.987
30,0.997,0.974
31,1,0.989
32,1,0.993
33,1,0.981
34,1,0.97
35,1,0.988
36,1,0.984
37,0.965,0.997
38,0.987,0.997
39,0.988,0.991
40,0.99,0.997
41,0.972,0.998
42,0.955,0.973
43,0.981,0.983
44,1,0.977
45,1,0.982
46,1,0.977
47,1,0.961
48,0.977,0.976
49,1,0.98
50,1,0.98
51,1,0.965
52,1,0.975
53,1,0.971
54,0.964,0.989
55,0.926,0.993
56,1,0.96
57,0.99,0.989
58,0.933,0.992
59,0.945,0.985
60,1,0.951
