failure min per day,sublinear,linear
1,1,1
2,0.999,0.999
3,0.999,0.998
4,0.996,0.999
5,0.997,0.999
6,0.996,0.997
7,0.996,0.995
8,0.994,0.992
9,0.992,0.995
10,0.996,0.993
11,0.99,0.993
12,0.995,0.992
13,0.993,0.992
14,0.995,0.991
15,0.989,0.989
16,0.989,0.989
17,0.991,0.991
18,0.992,0.986
19,0.989,0.989
20,0.984,0.984
21,0.987,0.988
22,0.985,0.983
23,0.985,0.984
24,0.984,0.982
25,0.988,0.983
26,0.983,0.984
27,0.984,0.982
28,0.977,0.984
29,0.984,0.977
30,0.982,0.98
31,0.978,0.978
32,0.978,0.982
33,0.975,0.979
34,0.972,0.976
35,0.978,0.973
36,0.977,0.979
37,0.98,0.971
38,0.972,0.973
39,0.973,0.97
40,0.973,0.973
41,0.975,0.973
42,0.971,0.973
43,0.971,0.972
44,0.973,0.97
45,0.971,0.973
46,0.968,0.965
47,0.968,0.969
48,0.968,0.967
49,0.967,0.965
50,0.964,0.97
51,0.961,0.963
52,0.96,0.969
53,0.962,0.962
54,0.964,0.968
55,0.957,0.962
56,0.962,0.967
57,0.961,0.966
58,0.958,0.964
59,0.961,0.958
60,0.962,0.957
